FlightDate,Atrasos,Cancelamentos,Cold,Fog,Rain,Snow,Storm
2019-04-16,-3473.0,151,-12.0,240,-1532.0,153,5
2019-04-17,-111.0,452,16.0,554,845.0,64,10
2019-04-18,2592.0,308,-17.0,545,1751.0,88,30
2019-04-19,1501.0,1637,29.0,653,739.0,17,31
2019-04-20,-3299.0,339,-28.0,451,-553.0,18,8
2019-04-21,-686.0,171,-13.0,654,-2294.0,16,9
2019-04-22,1076.0,166,51.0,487,199.0,40,7
2019-04-23,-1229.0,198,-10.0,558,159.0,43,5
2019-04-24,369.0,350,-15.0,551,122.0,4,10
2019-04-25,-233.0,170,4.0,793,634.0,23,10
2019-04-26,2278.0,928,-13.0,550,839.0,19,35
2019-04-27,-2229.0,864,-26.0,375,-1192.0,589,31
2019-04-28,299.0,241,13.0,311,-1080.0,431,58
2019-04-29,1856.0,264,-20.0,508,898.0,456,19
2019-04-30,-1149.0,676,37.0,1243,1300.0,737,10
2019-05-01,-499.0,398,-1.0,1162,-296.0,688,5
2019-05-02,3225.0,567,18.0,1513,50.0,96,8
2019-05-03,-721.0,410,-16.0,1437,-327.0,24,4
2019-05-04,-2542.0,259,6.0,1754,156.0,13,7
2019-05-05,1567.0,330,4.0,748,136.0,55,7
2019-05-06,-743.0,225,-9.0,816,-1377.0,40,5
2019-05-07,-644.0,377,-11.0,778,317.0,22,13
2019-05-08,1571.0,896,19.0,819,1776.0,142,15
2019-05-09,79.0,492,6.0,772,-96.0,795,8
2019-05-10,-218.0,259,-24.0,428,-935.0,170,7
2019-05-11,-1217.0,425,-6.0,708,1169.0,19,2
2019-05-12,627.0,281,18.0,678,732.0,7,2
2019-05-13,818.0,298,-10.0,787,-2338.0,8,0
2019-05-14,-1968.0,197,12.0,554,-767.0,27,12
2019-05-15,-153.0,282,-4.0,520,-463.0,18,8
2019-05-16,1916.0,169,-13.0,564,618.0,26,19
2019-05-17,-505.0,166,-4.0,428,630.0,81,16
2019-05-18,-163.0,900,18.0,733,1010.0,346,33
2019-05-19,2278.0,542,-8.0,939,1117.0,231,22
2019-05-20,-1231.0,519,22.0,765,-1734.0,449,20
2019-05-21,319.0,554,0.0,708,1262.0,920,89
